round, train-rmse, test-rmse,
939,1.168614,1.373432,
940,1.168403,1.373474,
941,1.168241,1.373475,
942,1.168162,1.373495,
943,1.168053,1.373496,
944,1.167968,1.373496,
945,1.167888,1.373509,
946,1.167819,1.373475,
947,1.167756,1.373473,
948,1.167696,1.373478,
949,1.167648,1.373644,
950,1.167509,1.373638,
951,1.167351,1.373639,
952,1.167292,1.373635,
953,1.167216,1.374048,
954,1.167077,1.374041,
955,1.166974,1.373993,
956,1.166922,1.374089,
957,1.166777,1.374293,
958,1.166681,1.374239,
959,1.166540,1.374240,
960,1.166497,1.374137,
961,1.166389,1.374153,
962,1.166301,1.374155,
963,1.166195,1.374112,
964,1.166111,1.374112,
965,1.165977,1.374101,
966,1.165913,1.374135,
967,1.165801,1.374135,
968,1.165714,1.374408,
969,1.165617,1.374383,
970,1.165568,1.374380,
971,1.165465,1.374398,
972,1.165185,1.374405,
973,1.165084,1.374406,
974,1.165010,1.374466,
975,1.164943,1.374383,
976,1.164555,1.374392,
977,1.164473,1.374394,
978,1.164356,1.374377,
979,1.164244,1.374457,
980,1.164138,1.374478,
981,1.163949,1.374436,
982,1.163802,1.374437,
983,1.163679,1.374439,
984,1.163617,1.374454,
985,1.163567,1.374423,
986,1.163442,1.374445,
987,1.163379,1.374418,
988,1.163255,1.374592,
989,1.163169,1.374589,
990,1.163075,1.375328,
991,1.162882,1.375403,
992,1.162763,1.375321,
993,1.162631,1.375383,
994,1.162554,1.375300,
995,1.162469,1.375289,
996,1.162364,1.375310,
997,1.162301,1.375371,
998,1.162231,1.375346,
999,1.162064,1.375041,
