"prod","data","vendite_giorn_prod"
1,"2015-09-05",145
1,"2015-09-06",61
1,"2015-09-07",712
1,"2015-09-08",858
1,"2015-09-09",848
1,"2015-09-10",913
1,"2015-09-11",879
1,"2015-09-12",200
1,"2015-09-13",59
1,"2015-09-14",891
1,"2015-09-15",859
1,"2015-09-16",891
1,"2015-09-17",890
1,"2015-09-18",910
1,"2015-09-19",134
1,"2015-09-20",97
1,"2015-09-21",819
1,"2015-09-22",985
1,"2015-09-23",1026
1,"2015-09-24",1028
1,"2015-09-25",956
1,"2015-09-26",193
1,"2015-09-27",42
1,"2015-09-28",822
1,"2015-09-29",983
1,"2015-09-30",878
1,"2015-10-01",882
1,"2015-10-02",919
1,"2015-10-03",194
1,"2015-10-04",65
1,"2015-10-05",880
1,"2015-10-06",1036
1,"2015-10-07",924
1,"2015-10-08",886
1,"2015-10-09",905
1,"2015-10-10",191
1,"2015-10-11",57
1,"2015-10-12",818
1,"2015-10-13",879
1,"2015-10-14",903
1,"2015-10-15",966
1,"2015-10-16",948
1,"2015-10-17",285
1,"2015-10-18",100
1,"2015-10-19",918
1,"2015-10-20",899
1,"2015-10-21",910
1,"2015-10-22",962
1,"2015-10-23",943
1,"2015-10-24",203
1,"2015-10-25",90
1,"2015-10-26",937
1,"2015-10-27",904
1,"2015-10-28",823
1,"2015-10-29",954
1,"2015-10-30",815
1,"2015-10-31",198
1,"2015-11-01",74
1,"2015-11-02",854
1,"2015-11-03",984
1,"2015-11-04",793
1,"2015-11-05",1036
1,"2015-11-06",937
1,"2015-11-07",231
1,"2015-11-08",71
1,"2015-11-09",878
1,"2015-11-10",879
1,"2015-11-11",849
1,"2015-11-12",794
1,"2015-11-13",960
1,"2015-11-14",272
1,"2015-11-15",77
1,"2015-11-16",842
1,"2015-11-17",930
1,"2015-11-18",867
1,"2015-11-19",857
1,"2015-11-20",895
1,"2015-11-21",272
1,"2015-11-22",96
1,"2015-11-23",857
1,"2015-11-24",800
1,"2015-11-25",659
1,"2015-11-26",882
1,"2015-11-27",867
1,"2015-11-28",310
1,"2015-11-29",55
1,"2015-11-30",908
1,"2015-12-01",813
1,"2015-12-02",823
1,"2015-12-03",853
1,"2015-12-04",992
1,"2015-12-05",265
1,"2015-12-06",68
1,"2015-12-07",726
1,"2015-12-08",146
1,"2015-12-09",879
1,"2015-12-10",922
1,"2015-12-11",954
1,"2015-12-12",293
1,"2015-12-13",91
1,"2015-12-14",969
1,"2015-12-15",887
1,"2015-12-16",885
1,"2015-12-17",900
1,"2015-12-18",944
1,"2015-12-19",161
1,"2015-12-20",78
1,"2015-12-21",894
1,"2015-12-22",833
1,"2015-12-23",765
1,"2015-12-24",634
1,"2015-12-25",59
1,"2015-12-26",9
1,"2015-12-27",9
1,"2015-12-28",794
1,"2015-12-29",717
1,"2015-12-30",483
1,"2015-12-31",367
1,"2016-01-01",56
1,"2016-01-02",83
1,"2016-01-03",56
1,"2016-01-04",732
1,"2016-01-05",874
1,"2016-01-06",93
1,"2016-01-07",903
1,"2016-01-08",875
1,"2016-01-09",199
1,"2016-01-10",64
1,"2016-01-11",843
1,"2016-01-12",930
1,"2016-01-13",918
1,"2016-01-14",862
1,"2016-01-15",1046
1,"2016-01-16",209
1,"2016-01-17",67
1,"2016-01-18",1050
1,"2016-01-19",850
1,"2016-01-20",932
1,"2016-01-21",933
1,"2016-01-22",985
1,"2016-01-23",230
1,"2016-01-24",68
1,"2016-01-25",1119
1,"2016-01-26",947
1,"2016-01-27",1039
1,"2016-01-28",968
1,"2016-01-29",982
1,"2016-01-30",148
1,"2016-01-31",53
1,"2016-02-01",1003
1,"2016-02-02",869
1,"2016-02-03",932
1,"2016-02-04",1001
1,"2016-02-05",903
1,"2016-02-06",180
1,"2016-02-07",83
1,"2016-02-08",1093
1,"2016-02-09",868
1,"2016-02-10",956
1,"2016-02-11",929
1,"2016-02-12",940
1,"2016-02-13",200
1,"2016-02-14",82
1,"2016-02-15",918
1,"2016-02-16",892
1,"2016-02-17",827
1,"2016-02-18",1010
1,"2016-02-19",901
1,"2016-02-20",218
1,"2016-02-21",53
1,"2016-02-22",990
1,"2016-02-23",961
1,"2016-02-24",944
1,"2016-02-25",996
1,"2016-02-26",1066
1,"2016-02-27",318
1,"2016-02-28",19
1,"2016-02-29",1040
1,"2016-03-01",1029
1,"2016-03-02",1187
1,"2016-03-03",1028
1,"2016-03-04",1038
1,"2016-03-05",178
1,"2016-03-06",33
1,"2016-03-07",1072
1,"2016-03-08",938
1,"2016-03-09",1043
1,"2016-03-10",912
1,"2016-03-11",1015
1,"2016-03-12",171
1,"2016-03-13",46
1,"2016-03-14",1083
1,"2016-03-15",1058
1,"2016-03-16",1034
1,"2016-03-17",1033
1,"2016-03-18",1007
1,"2016-03-19",206
1,"2016-03-20",36
1,"2016-03-21",921
1,"2016-03-22",318
1,"2016-03-23",835
1,"2016-03-24",1024
1,"2016-03-25",1024
1,"2016-03-26",236
1,"2016-03-27",24
1,"2016-03-28",32
1,"2016-03-29",1053
1,"2016-03-30",1005
1,"2016-03-31",976
1,"2016-04-01",1051
1,"2016-04-02",205
1,"2016-04-03",51
1,"2016-04-04",1066
1,"2016-04-05",1016
1,"2016-04-06",901
1,"2016-04-07",862
1,"2016-04-08",909
1,"2016-04-09",386
1,"2016-04-10",44
1,"2016-04-11",946
1,"2016-04-12",861
1,"2016-04-13",979
1,"2016-04-14",1014
1,"2016-04-15",982
1,"2016-04-16",319
1,"2016-04-17",28
1,"2016-04-18",872
1,"2016-04-19",777
1,"2016-04-20",623
1,"2016-04-21",802
1,"2016-04-22",907
1,"2016-04-23",384
1,"2016-04-24",10
1,"2016-04-25",39
1,"2016-04-26",972
1,"2016-04-27",921
1,"2016-04-28",899
1,"2016-04-29",969
1,"2016-04-30",430
1,"2016-05-01",14
1,"2016-05-02",871
1,"2016-05-03",852
1,"2016-05-04",863
1,"2016-05-05",945
1,"2016-05-06",956
1,"2016-05-07",171
1,"2016-05-08",4
1,"2016-05-09",873
1,"2016-05-10",792
1,"2016-05-11",919
1,"2016-05-12",877
1,"2016-05-13",816
1,"2016-05-14",53
1,"2016-05-15",9
1,"2016-05-16",976
1,"2016-05-17",858
1,"2016-05-18",909
1,"2016-05-19",465
2,"2014-01-01",154.676454928325
2,"2014-01-02",274
2,"2014-01-03",304
2,"2014-01-04",80
2,"2014-01-05",34
2,"2014-01-06",2
2,"2014-01-07",245
2,"2014-01-08",382
2,"2014-01-09",416
2,"2014-01-10",341
2,"2014-01-11",129
2,"2014-01-12",42
2,"2014-01-13",285
2,"2014-01-14",261
2,"2014-01-15",394
2,"2014-01-16",376
2,"2014-01-17",408
2,"2014-01-18",101
2,"2014-01-19",75
2,"2014-01-20",310
2,"2014-01-21",432
2,"2014-01-22",389
2,"2014-01-23",296
2,"2014-01-24",444
2,"2014-01-25",146
2,"2014-01-26",44
2,"2014-01-27",234
2,"2014-01-28",429
2,"2014-01-29",407
2,"2014-01-30",383
2,"2014-01-31",460
2,"2014-02-01",172
2,"2014-02-02",64
2,"2014-02-03",249
2,"2014-02-04",422
2,"2014-02-05",402
2,"2014-02-06",389
2,"2014-02-07",478
2,"2014-02-08",186
2,"2014-02-09",48
2,"2014-02-10",299
2,"2014-02-11",518
2,"2014-02-12",341
2,"2014-02-13",515
2,"2014-02-14",384
2,"2014-02-15",161
2,"2014-02-16",42
2,"2014-02-17",306
2,"2014-02-18",504
2,"2014-02-19",455
2,"2014-02-20",463
2,"2014-02-21",404
2,"2014-02-22",83
2,"2014-02-23",92
2,"2014-02-24",214
2,"2014-02-25",353
2,"2014-02-26",284
2,"2014-02-27",333
2,"2014-02-28",436
2,"2014-03-01",143
2,"2014-03-02",60
2,"2014-03-03",467
2,"2014-03-04",606
2,"2014-03-05",459
2,"2014-03-06",482
2,"2014-03-07",365
2,"2014-03-08",214
2,"2014-03-09",40
2,"2014-03-10",309
2,"2014-03-11",405
2,"2014-03-12",413
2,"2014-03-13",377
2,"2014-03-14",407
2,"2014-03-15",158
2,"2014-03-16",43
2,"2014-03-17",340
2,"2014-03-18",430
2,"2014-03-19",429.75085854912
2,"2014-03-20",416.815113789739
2,"2014-03-21",400.713664376506
2,"2014-03-22",117.013057543147
2,"2014-03-23",78.7013840744658
2,"2014-03-24",301.590476176278
2,"2014-03-25",399.568979394071
2,"2014-03-26",448
2,"2014-03-27",285
2,"2014-03-28",416
2,"2014-03-29",66
2,"2014-03-30",88
2,"2014-03-31",330
2,"2014-04-01",308
2,"2014-04-02",451
2,"2014-04-03",351
2,"2014-04-04",341
2,"2014-04-05",75
2,"2014-04-06",17
2,"2014-04-07",256
2,"2014-04-08",267
2,"2014-04-09",571
2,"2014-04-10",429
2,"2014-04-11",344
2,"2014-04-12",66
2,"2014-04-13",211
2,"2014-04-14",288
2,"2014-04-15",384
2,"2014-04-16",464
2,"2014-04-17",323
2,"2014-04-18",518
2,"2014-04-19",70
2,"2014-04-20",10
2,"2014-04-21",3
2,"2014-04-22",268
2,"2014-04-23",372
2,"2014-04-24",318
2,"2014-04-25",85
2,"2014-04-26",16
2,"2014-04-27",29
2,"2014-04-28",284
2,"2014-04-29",354
2,"2014-04-30",317
2,"2014-05-01",319
2,"2014-05-02",256
2,"2014-05-03",83
2,"2014-05-04",26
2,"2014-05-05",297
2,"2014-05-06",256
2,"2014-05-07",327
2,"2014-05-08",360
2,"2014-05-09",300
2,"2014-05-10",54
2,"2014-05-11",403
2,"2014-05-12",266
2,"2014-05-13",285
2,"2014-05-14",311
2,"2014-05-15",343
2,"2014-05-16",340
2,"2014-05-17",79
2,"2014-05-18",34
2,"2014-05-19",223
2,"2014-05-20",346
2,"2014-05-21",283
2,"2014-05-22",284
2,"2014-05-23",315
2,"2014-05-24",76
2,"2014-05-25",11
2,"2014-05-26",206
2,"2014-05-27",323
2,"2014-05-28",312
2,"2014-05-29",301
2,"2014-05-30",271
2,"2014-05-31",74
2,"2014-06-01",12
2,"2014-06-02",11
2,"2014-06-03",248
2,"2014-06-04",274
2,"2014-06-05",281
2,"2014-06-06",253
2,"2014-06-07",76
2,"2014-06-08",14
2,"2014-06-09",353
2,"2014-06-10",283
2,"2014-06-11",242
2,"2014-06-12",395
2,"2014-06-13",391
2,"2014-06-14",103
2,"2014-06-15",112
2,"2014-06-16",322
2,"2014-06-17",286
2,"2014-06-18",341
2,"2014-06-19",335
2,"2014-06-20",360
2,"2014-06-21",79
2,"2014-06-22",152
2,"2014-06-23",261
2,"2014-06-24",288
2,"2014-06-25",225
2,"2014-06-26",334
2,"2014-06-27",287
2,"2014-06-28",142
2,"2014-06-29",77
2,"2014-06-30",254.103301433874
2,"2014-07-01",234
2,"2014-07-02",286
2,"2014-07-03",427
2,"2014-07-04",276
2,"2014-07-05",86
2,"2014-07-06",33
2,"2014-07-07",189
2,"2014-07-08",278
2,"2014-07-09",292
2,"2014-07-10",296
2,"2014-07-11",316
2,"2014-07-12",82
2,"2014-07-13",81
2,"2014-07-14",268
2,"2014-07-15",412
2,"2014-07-16",251
2,"2014-07-17",362
2,"2014-07-18",323
2,"2014-07-19",67
2,"2014-07-20",91
2,"2014-07-21",263
2,"2014-07-22",326
2,"2014-07-23",342
2,"2014-07-24",355
2,"2014-07-25",381
2,"2014-07-26",109
2,"2014-07-27",30
2,"2014-07-28",237
2,"2014-07-29",406
2,"2014-07-30",307
2,"2014-07-31",395
2,"2014-08-01",404
2,"2014-08-02",129
2,"2014-08-03",55
2,"2014-08-04",224
2,"2014-08-05",324
2,"2014-08-06",310
2,"2014-08-07",318
2,"2014-08-08",331
2,"2014-08-09",105
2,"2014-08-10",45
2,"2014-08-11",133
2,"2014-08-12",231
2,"2014-08-13",165
2,"2014-08-14",274
2,"2014-08-15",38
2,"2014-08-16",8
2,"2014-08-17",26
2,"2014-08-18",213
2,"2014-08-19",297
2,"2014-08-20",404
2,"2014-08-21",315
2,"2014-08-22",347
2,"2014-08-23",83
2,"2014-08-24",32
2,"2014-08-25",241
2,"2014-08-26",242
2,"2014-08-27",250
2,"2014-08-28",240
2,"2014-08-29",230
2,"2014-08-30",90
2,"2014-08-31",34
2,"2014-09-01",138
2,"2014-09-02",254
2,"2014-09-03",170
2,"2014-09-04",234
2,"2014-09-05",232
2,"2014-09-06",70
2,"2014-09-07",27
2,"2014-09-08",173
2,"2014-09-09",271
2,"2014-09-10",172
2,"2014-09-11",284
2,"2014-09-12",213
2,"2014-09-13",83
2,"2014-09-14",16
2,"2014-09-15",237
2,"2014-09-16",263
2,"2014-09-17",266
2,"2014-09-18",311
2,"2014-09-19",304
2,"2014-09-20",98
2,"2014-09-21",42
2,"2014-09-22",273
2,"2014-09-23",317
2,"2014-09-24",331
2,"2014-09-25",411
2,"2014-09-26",316
2,"2014-09-27",134
2,"2014-09-28",31
2,"2014-09-29",270
2,"2014-09-30",405
2,"2014-10-01",339
2,"2014-10-02",407
2,"2014-10-03",390
2,"2014-10-04",122
2,"2014-10-05",49
2,"2014-10-06",258
2,"2014-10-07",355
